Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
165,33,7,164,0,Some Random Commen with Id 165
166,34,1,69,2,Some Random Commen with Id 166
167,34,1,56,0,Some Random Commen with Id 167
168,34,1,22,3,Some Random Commen with Id 168
169,34,1,185,7,Some Random Commen with Id 169
170,34,1,129,5,Some Random Commen with Id 170
171,35,1,135,6,Some Random Commen with Id 171
172,35,1,100,1,Some Random Commen with Id 172
173,35,1,72,8,Some Random Commen with Id 173
174,35,1,7,3,Some Random Commen with Id 174
175,35,1,93,5,Some Random Commen with Id 175
176,35,1,120,0,Some Random Commen with Id 176
177,35,1,114,2,Some Random Commen with Id 177
178,35,1,49,9,Some Random Commen with Id 178
179,36,4,108,0,Some Random Commen with Id 179
180,36,4,3,6,Some Random Commen with Id 180
181,36,4,41,1,Some Random Commen with Id 181
182,36,4,17,4,Some Random Commen with Id 182
183,36,4,186,2,Some Random Commen with Id 183
184,36,4,118,1,Some Random Commen with Id 184
185,36,4,55,1,Some Random Commen with Id 185
186,36,4,7,7,Some Random Commen with Id 186
187,36,4,173,0,Some Random Commen with Id 187
188,37,8,74,3,Some Random Commen with Id 188
189,37,8,51,4,Some Random Commen with Id 189
190,37,8,172,6,Some Random Commen with Id 190
191,37,8,45,0,Some Random Commen with Id 191
192,37,8,119,2,Some Random Commen with Id 192
193,37,8,157,1,Some Random Commen with Id 193
194,37,8,125,2,Some Random Commen with Id 194
195,37,8,187,5,Some Random Commen with Id 195
196,38,9,66,8,Some Random Commen with Id 196
197,38,9,50,6,Some Random Commen with Id 197
198,38,9,103,1,Some Random Commen with Id 198
199,38,9,45,5,Some Random Commen with Id 199
200,38,9,102,7,Some Random Commen with Id 200
201,38,9,135,2,Some Random Commen with Id 201
202,38,9,111,3,Some Random Commen with Id 202
203,38,9,125,8,Some Random Commen with Id 203
204,39,4,177,0,Some Random Commen with Id 204
205,39,4,12,8,Some Random Commen with Id 205
206,39,4,30,0,Some Random Commen with Id 206
